"","Proportion of Population","Detection Threshold","Probability of Detecting a Single Area","Probability of Detecting 90% of Areas","Probability of Detecting 100% of Areas"
"1",0.2,"1 fish",0.998762059960715,0.993825605799345,0.993825605799345
"2",0.1,"1 fish",0.957608841724784,0.935514742383691,0.648457433562507
"3",0.05,"1 fish",0.785361236057062,0.164614692442663,0.00796873216679736
"4",0.2,"2 fish",0.989477509666074,0.948483186731117,0.948483186731117
"5",0.1,"2 fish",0.816304980807397,0.427022773922385,0.131378549961299
"6",0.05,"2 fish",0.446457924568213,3.14675213743128e-05,9.89944212001668e-08
"7",0.2,"3 fish",0.955821014848003,0.797779502709763,0.797779502709763
"8",0.1,"3 fish",0.588648760440495,0.0399028222870495,0.00499530877354121
"9",0.05,"3 fish",0.18782118685304,1.08648559588846e-11,2.98463763559088e-15
